Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
9.55,2.26,8.38,527.98,192.47,254.8,0.07,57.98,0.16,4.56,182.34,2.09,13.38,120.85,4.53,27.31,1.09,potable
11.35,1.76,7.97,1121.99,456.5,106.26,0.04,130.61,0.03,61.78,174.34,3.02,53.57,128.61,5.4,8.5,1.17,potable
0.75,3.09,7.78,1221.39,162.07,293.57,0.17,169.63,0.0,5.76,40.51,2.61,86.82,85.9,25.79,30.31,0.32,potable
4.79,2.01,6.67,998.61,146.85,21.33,0.01,248.47,0.28,76.11,387.03,3.9,40.66,110.29,11.18,19.07,0.68,potable
0.38,2.02,6.72,203.74,109.57,46.0,0.16,222.11,0.02,78.01,238.35,4.4,31.69,102.11,10.03,2.7,1.52,potable
12.1,4.81,7.28,608.03,23.34,134.33,0.08,132.57,0.26,133.66,381.54,0.91,54.01,135.57,2.82,42.7,1.96,potable
6.29,2.69,7.08,544.24,678.34,284.78,0.2,237.17,0.27,46.2,2.44,0.35,51.77,132.7,25.36,24.24,1.52,potable
11.47,4.58,7.62,501.7,213.58,212.68,0.19,4.5,0.01,75.29,252.62,1.82,70.8,54.54,21.91,23.06,1.16,potable
8.95,4.57,7.82,755.42,877.0,176.36,0.05,194.41,0.21,196.51,222.79,3.21,30.3,98.22,4.97,34.22,2.04,potable
10.7,2.9,8.4,463.32,61.57,162.46,0.05,147.86,0.06,48.22,281.77,0.7,58.1,24.46,49.52,2.56,0.81,potable
3.05,0.74,6.53,1337.64,36.88,72.36,0.03,126.71,0.21,50.38,243.01,3.42,9.52,83.4,19.53,40.51,0.17,potable
13.75,0.3,8.49,550.3,740.23,90.5,0.12,127.43,0.09,118.85,233.9,4.18,76.44,101.04,16.66,16.66,0.55,potable
8.44,2.56,6.55,1032.79,280.49,40.38,0.15,161.32,0.26,104.61,70.23,3.25,35.66,6.03,8.66,11.91,0.1,potable
9.17,0.28,7.62,479.25,630.32,144.58,0.17,37.47,0.08,56.94,71.86,2.4,96.85,119.26,21.21,40.78,1.71,potable
4.84,3.06,8.08,152.76,136.34,34.26,0.18,10.29,0.12,39.2,116.88,3.02,42.44,71.53,29.29,35.55,1.93,potable
8.07,3.98,8.16,845.63,501.51,175.89,0.02,180.14,0.07,149.17,136.56,2.82,41.79,102.03,44.64,30.74,2.11,potable
14.96,1.27,7.36,1086.35,341.24,264.34,0.04,94.26,0.21,55.88,159.19,4.3,18.38,49.47,0.36,20.05,0.31,potable
5.27,0.05,7.35,1334.15,101.27,168.04,0.02,133.86,0.11,86.32,274.66,2.01,7.14,88.64,11.08,20.97,1.8,potable
9.34,0.18,8.38,1118.97,195.41,247.95,0.02,192.96,0.1,115.39,64.9,1.37,98.39,111.36,25.13,26.07,1.08,potable
11.41,4.48,6.79,105.11,884.54,240.07,0.19,94.15,0.14,36.19,372.1,3.1,82.69,109.73,6.09,34.78,1.78,potable
14.46,1.29,7.61,584.15,938.36,0.68,0.13,7.12,0.02,35.41,109.12,1.32,34.49,28.62,25.39,41.91,0.36,potable
13.64,1.15,8.36,1354.96,203.32,128.97,0.08,220.63,0.22,118.41,173.26,2.25,92.79,16.76,47.85,3.55,1.48,potable
10.86,1.21,8.08,1288.44,715.4,106.46,0.02,186.74,0.16,60.55,10.8,1.96,37.96,144.17,12.35,9.38,0.4,potable
5.12,0.04,8.17,696.82,404.46,240.15,0.07,84.48,0.15,170.38,250.87,1.01,33.75,108.93,45.96,9.36,0.07,potable
9.32,0.09,7.16,1308.82,694.8,127.57,0.12,161.0,0.18,134.91,115.86,3.56,81.68,23.52,0.88,10.91,1.35,potable
14.93,0.68,6.9,1314.79,624.26,2.28,0.14,124.61,0.07,112.78,233.28,2.97,61.88,87.92,23.01,31.02,0.24,potable
9.63,2.06,7.33,570.66,84.21,235.13,0.02,201.05,0.02,19.09,215.31,1.01,87.03,31.93,23.52,21.81,1.81,potable
4.45,3.74,7.84,836.67,473.32,202.27,0.05,210.94,0.17,137.86,147.42,3.52,16.97,48.53,2.81,30.17,1.64,potable
5.56,4.21,7.12,202.73,376.14,131.55,0.18,200.39,0.02,70.62,109.54,2.06,42.81,123.27,4.23,16.86,0.04,potable
13.31,2.57,7.89,1229.79,201.7,298.76,0.07,166.25,0.16,179.62,111.82,1.35,80.77,137.1,38.14,38.72,0.71,potable
14.81,3.46,7.52,1417.12,930.2,58.32,0.1,152.01,0.11,153.87,226.38,3.89,9.7,106.0,29.05,2.33,2.11,potable
3.03,0.76,7.35,1325.92,133.9,118.39,0.06,212.3,0.01,85.37,79.58,3.35,36.46,139.03,6.07,30.49,1.15,potable
10.08,3.53,6.73,74.93,250.73,51.69,0.14,68.31,0.15,19.16,252.71,0.31,34.93,69.04,33.9,11.12,0.98,potable
2.63,3.45,7.11,1296.85,880.7,204.24,0.17,139.93,0.17,173.36,336.45,4.62,39.11,138.49,27.92,3.52,1.15,potable
12.43,1.84,8.3,1098.33,51.75,294.92,0.03,168.74,0.13,91.95,281.3,4.13,63.78,104.01,35.91,20.63,0.35,potable
5.68,0.08,8.43,1065.32,308.09,216.1,0.2,141.12,0.12,21.76,169.06,1.91,23.54,8.0,26.91,12.2,2.08,potable
0.63,4.22,7.27,1138.28,2.52,238.81,0.04,40.36,0.05,74.43,235.17,1.53,49.91,66.05,6.23,1.27,2.04,potable
7.74,3.24,8.08,178.97,617.78,45.64,0.07,179.85,0.03,12.17,90.58,4.63,71.71,36.81,12.13,9.21,0.73,potable
5.65,0.08,7.6,836.1,478.26,269.09,0.12,54.22,0.17,16.76,33.58,3.25,12.93,55.88,19.43,41.74,1.23,potable
10.7,4.32,6.69,358.89,728.67,115.64,0.0,138.92,0.28,61.54,46.51,1.98,40.43,125.21,3.93,9.88,1.16,potable
8.03,2.83,8.01,1225.47,153.6,166.07,0.11,45.49,0.26,101.59,236.71,0.03,87.1,121.45,48.43,39.79,2.14,potable
6.96,3.28,7.31,727.97,77.94,173.57,0.05,187.96,0.14,34.5,176.68,4.24,64.43,140.04,37.25,23.14,0.91,potable
6.98,4.78,6.64,470.18,986.31,255.89,0.16,169.91,0.06,11.84,181.78,4.91,15.4,12.92,47.11,12.19,0.65,potable
10.32,4.16,8.29,1368.92,387.1,273.9,0.12,32.56,0.26,55.52,312.19,3.92,0.3,34.21,13.75,30.32,0.88,potable
13.61,4.68,7.32,504.77,416.98,290.69,0.1,71.34,0.22,112.36,130.34,2.52,46.03,50.1,36.51,36.79,1.47,potable
14.8,2.69,7.34,475.58,717.71,266.84,0.18,171.67,0.19,172.5,264.66,0.86,44.37,37.5,13.9,17.22,0.26,potable
9.36,0.59,7.59,762.27,587.49,238.76,0.17,148.57,0.26,8.1,44.18,3.74,5.2,44.03,49.05,44.04,0.95,potable
3.83,3.46,7.19,213.35,198.83,95.2,0.02,54.86,0.09,49.36,163.43,3.25,96.0,40.88,12.09,42.89,1.92,potable
0.48,2.77,8.34,497.21,270.67,232.38,0.03,29.9,0.0,42.92,398.16,3.2,31.17,84.7,35.72,2.76,0.61,potable
2.13,2.3,7.02,391.11,275.3,241.21,0.01,41.37,0.06,80.18,109.66,2.25,2.01,11.75,40.43,38.76,1.54,potable
0.96,3.0,6.7,291.66,93.48,175.03,0.03,25.77,0.07,29.22,250.75,4.68,13.23,2.71,22.88,7.9,1.26,potable
3.77,0.38,7.06,978.89,313.09,260.62,0.0,44.66,0.17,1.01,274.98,0.17,2.81,98.57,0.99,40.69,1.72,potable
8.82,4.33,8.49,1012.18,427.57,32.53,0.11,95.7,0.12,124.33,356.08,1.02,25.9,53.95,49.67,38.92,1.7,potable
11.24,3.51,8.14,1044.64,63.87,178.17,0.07,57.58,0.3,92.94,385.37,3.83,55.88,43.76,15.22,14.55,1.33,potable
9.29,4.15,6.91,618.88,242.09,171.75,0.05,228.29,0.19,182.85,368.84,1.67,29.35,46.05,24.26,22.94,0.45,potable
3.56,2.82,6.95,1065.03,697.46,157.94,0.03,35.6,0.28,186.64,111.63,3.97,75.36,143.32,2.82,9.43,1.35,potable
7.64,1.71,8.36,1349.2,227.49,33.08,0.12,89.37,0.22,183.4,66.08,2.36,1.46,91.42,16.34,40.63,0.28,potable
0.13,3.09,7.89,724.6,291.93,184.17,0.02,118.44,0.16,178.69,369.54,4.89,4.23,109.54,44.09,3.31,1.03,potable
8.72,2.92,8.17,306.1,805.27,125.11,0.11,43.54,0.16,75.79,120.47,2.22,72.23,76.9,20.33,9.6,1.79,potable
10.96,0.15,7.18,1322.37,103.54,110.82,0.06,78.53,0.1,70.1,387.43,2.24,53.92,6.01,29.18,21.71,1.5,potable
5.92,4.29,7.65,952.73,983.17,16.12,0.13,134.34,0.24,68.62,257.51,3.01,3.34,95.55,18.43,15.01,0.97,potable
3.33,2.82,8.19,1273.64,492.56,149.3,0.09,233.33,0.08,79.02,48.18,2.3,68.52,135.27,19.27,20.84,0.27,potable
11.64,1.13,6.54,788.26,780.32,65.67,0.09,133.74,0.14,81.41,359.33,0.26,38.05,44.32,12.23,3.67,2.06,potable
9.74,1.48,6.61,1341.14,378.07,209.1,0.1,160.11,0.04,162.16,21.09,2.03,23.82,129.61,4.95,8.54,1.53,potable
4.16,2.75,7.32,248.48,114.48,259.31,0.0,194.56,0.09,171.54,271.97,4.63,70.91,19.14,30.05,43.45,0.31,potable
8.52,0.3,8.36,1320.27,317.79,197.61,0.19,49.23,0.16,122.04,276.26,3.68,33.04,113.69,35.35,4.18,0.53,potable
14.8,1.31,7.64,1177.33,914.3,230.14,0.12,52.22,0.26,182.3,21.54,2.54,75.9,60.08,2.7,43.45,1.9,potable
4.73,0.46,8.39,750.16,344.19,284.74,0.01,194.69,0.14,99.38,351.87,0.88,13.43,97.56,27.59,3.3,1.59,potable
8.69,3.51,7.23,417.9,187.85,147.62,0.17,77.11,0.22,147.39,387.18,1.71,58.33,96.79,42.2,25.41,0.13,potable
5.19,4.75,7.41,1230.21,103.14,126.13,0.14,81.08,0.13,192.65,325.58,4.46,87.24,98.2,40.91,34.55,0.24,potable
12.34,1.28,6.71,111.4,819.42,216.28,0.07,89.66,0.25,134.41,397.26,1.28,48.01,114.43,18.81,5.97,2.02,potable
6.89,4.6,7.7,621.02,499.41,51.74,0.07,191.35,0.03,61.59,157.28,0.04,4.15,133.35,25.47,44.42,1.2,potable
8.1,0.69,8.47,1159.7,817.27,264.62,0.11,184.64,0.15,190.94,79.32,4.75,10.47,28.54,2.54,38.32,1.11,potable
4.29,0.39,7.18,1379.58,193.29,184.9,0.13,144.82,0.11,4.65,137.44,2.71,40.63,59.93,15.43,38.59,0.76,potable
3.88,3.44,8.44,958.72,40.14,102.87,0.13,154.38,0.2,6.49,356.06,2.13,10.6,17.16,41.41,18.97,0.78,potable
7.32,2.85,7.7,1265.17,731.03,69.6,0.14,138.78,0.28,146.6,141.76,1.07,84.9,40.91,27.15,6.76,1.32,potable
6.75,0.82,8.31,1283.3,324.84,199.52,0.05,27.18,0.17,131.95,67.1,1.18,13.25,104.35,33.73,20.17,0.42,potable
6.74,3.15,6.76,1272.77,708.75,214.47,0.11,140.55,0.27,133.39,289.42,0.85,7.17,39.15,11.03,3.25,1.01,potable
3.92,1.44,8.24,1323.29,395.63,161.78,0.04,232.42,0.17,125.29,49.56,4.36,12.45,2.28,0.73,13.72,2.18,potable
7.64,2.22,8.03,46.04,426.76,279.32,0.15,238.62,0.23,8.99,22.12,3.1,37.05,22.71,31.71,18.65,2.16,potable
6.74,4.59,7.6,920.78,139.71,159.01,0.13,210.0,0.29,96.22,346.75,2.12,71.66,46.96,45.38,27.86,2.17,potable
6.22,3.15,6.91,717.84,159.94,76.07,0.17,124.16,0.29,25.95,200.86,3.45,61.5,93.25,27.32,21.75,1.45,potable
14.19,2.92,7.32,1486.71,926.14,212.5,0.11,72.28,0.06,42.29,183.92,0.98,43.63,120.62,22.47,8.61,2.06,potable
12.08,4.12,7.88,829.13,916.46,253.45,0.19,80.67,0.09,73.24,13.3,3.35,69.58,135.55,49.55,22.21,0.45,potable
8.79,3.02,7.65,1135.61,356.83,3.47,0.02,103.21,0.3,63.44,46.62,2.08,77.88,47.06,3.22,32.87,0.96,potable
14.66,4.9,7.78,8.7,166.59,132.3,0.05,94.36,0.2,42.42,281.2,3.03,83.67,56.55,18.5,17.36,1.74,potable
11.04,2.56,6.86,259.79,352.33,36.16,0.09,234.01,0.2,150.59,261.02,4.95,68.42,109.05,33.93,19.16,0.29,potable
6.54,2.62,8.16,446.88,966.34,180.4,0.01,229.84,0.17,80.97,343.4,2.0,48.99,146.52,30.46,29.56,1.93,potable
4.94,0.1,8.11,1429.21,156.0,172.08,0.01,18.53,0.09,100.64,116.86,4.21,32.79,33.71,4.19,5.23,0.07,potable
7.61,3.18,7.12,258.55,977.36,101.34,0.2,135.57,0.08,109.42,391.14,4.5,23.74,43.55,42.24,16.6,0.84,potable
13.97,2.29,6.97,479.44,541.75,135.07,0.06,143.91,0.23,117.24,78.82,1.58,72.89,68.95,41.79,7.45,0.82,potable
0.35,3.17,7.44,671.56,247.57,46.71,0.15,217.64,0.29,55.63,87.06,4.82,83.86,67.37,4.18,42.11,1.93,potable
8.56,2.31,8.25,9.9,502.8,124.47,0.15,96.86,0.27,122.75,33.19,2.77,60.48,91.09,27.78,31.34,0.11,potable
12.83,3.51,8.17,1467.65,862.73,121.13,0.09,167.9,0.23,117.49,369.23,0.46,51.01,17.23,3.35,3.92,1.05,potable
12.59,2.03,6.85,1130.12,671.73,78.94,0.17,205.66,0.08,88.16,192.28,4.17,70.27,97.54,21.21,37.28,1.07,potable
9.47,1.72,7.78,1132.66,2.52,148.93,0.14,219.63,0.05,193.86,224.36,4.0,39.71,38.42,6.01,32.98,1.34,potable
6.47,2.35,7.3,880.69,182.4,65.7,0.15,144.32,0.23,105.21,376.68,3.31,73.02,6.1,23.24,44.77,0.32,potable
14.47,3.22,8.43,668.98,906.2,42.63,0.18,88.43,0.26,5.87,133.0,2.09,25.2,52.68,22.59,35.28,2.18,potable
11.7,0.67,8.06,56.49,255.42,119.07,0.13,237.27,0.19,40.77,137.97,1.26,10.98,47.53,31.46,24.67,0.69,potable
9.83,0.29,7.53,837.35,800.47,176.56,0.12,187.55,0.04,3.45,266.05,1.86,72.52,14.26,43.68,7.39,0.9,potable
10.42,3.88,7.27,30.83,361.01,28.23,0.18,106.75,0.14,131.82,117.65,1.22,70.91,36.34,11.46,25.7,0.82,potable
4.62,0.27,8.22,18.6,582.12,28.44,0.2,1.44,0.16,177.7,380.83,2.1,7.75,127.28,36.69,18.33,1.71,potable
10.67,4.84,7.4,478.2,176.8,28.11,0.13,52.49,0.18,193.33,269.34,0.87,3.0,84.61,16.11,31.25,1.13,potable
11.98,1.11,7.98,993.62,373.64,71.48,0.14,112.2,0.01,163.19,244.23,0.42,24.96,7.1,6.98,41.22,0.18,potable
13.47,2.79,7.07,69.26,551.23,239.22,0.12,217.95,0.14,194.86,295.26,1.0,52.3,79.56,41.77,8.41,1.4,potable
4.78,4.23,7.02,981.97,106.07,253.41,0.05,30.57,0.24,169.25,213.17,4.78,89.21,5.93,14.51,38.84,1.14,potable
12.87,0.34,7.93,1281.3,776.12,118.25,0.11,182.39,0.21,100.01,121.59,1.88,49.16,27.48,38.5,16.5,0.41,potable
9.56,2.56,8.25,1424.31,981.74,120.07,0.12,39.38,0.16,62.1,334.34,0.36,29.01,74.88,49.25,29.72,0.41,potable
7.33,4.9,6.9,702.0,400.57,144.49,0.06,56.39,0.18,39.15,263.24,0.9,7.43,62.41,17.76,5.64,1.76,potable
12.19,2.91,7.04,567.66,159.32,259.83,0.01,213.76,0.07,80.12,277.4,4.74,1.78,129.78,12.72,44.26,0.78,potable
12.4,3.91,7.41,138.87,508.93,166.31,0.16,19.78,0.03,158.67,49.66,4.27,85.63,11.01,18.66,38.82,1.25,potable
12.25,1.26,6.92,1155.29,75.6,102.26,0.19,26.98,0.14,143.85,204.17,4.28,90.3,80.13,7.6,33.21,1.59,potable
2.61,3.08,6.73,807.12,391.19,234.33,0.13,17.16,0.27,109.63,86.32,4.67,46.85,37.77,13.98,33.54,1.26,potable
13.35,3.09,7.04,1123.53,696.43,24.92,0.18,156.71,0.1,110.19,183.66,0.43,63.58,2.2,12.41,41.8,1.69,potable
4.97,0.11,6.89,814.28,935.61,186.0,0.04,28.1,0.24,99.51,139.54,3.44,1.07,25.14,8.37,27.09,1.14,potable
10.4,4.56,8.45,547.25,448.14,14.3,0.06,210.46,0.03,47.47,221.65,3.2,11.39,21.0,24.48,6.97,0.51,potable
5.68,2.63,8.25,1228.71,980.8,66.21,0.16,199.74,0.22,19.86,29.39,3.39,55.19,92.26,29.43,7.03,0.08,potable
13.59,0.05,7.11,1026.58,569.05,140.45,0.15,11.95,0.17,94.13,273.45,2.51,89.09,147.2,27.71,39.44,0.53,potable
1.02,3.08,7.05,273.25,494.63,285.47,0.06,136.22,0.29,142.9,179.75,4.55,75.07,36.25,39.69,14.37,0.83,potable
3.06,4.01,7.03,1393.0,23.43,104.19,0.16,242.64,0.27,84.43,172.34,2.75,6.07,4.73,39.7,40.71,0.8,potable
2.05,0.7,6.52,1078.7,573.32,260.22,0.04,71.4,0.29,79.11,233.16,1.27,6.29,5.68,24.13,4.24,1.39,potable
6.6,1.35,7.36,417.34,128.51,158.0,0.17,76.63,0.0,17.35,330.63,0.22,55.7,64.39,13.61,27.54,0.88,potable
5.65,3.37,7.23,738.08,311.02,9.18,0.1,194.95,0.24,66.21,304.48,2.14,28.34,30.86,32.68,39.75,1.42,potable
9.18,3.07,6.77,525.52,953.75,275.2,0.05,23.08,0.25,123.51,396.91,4.27,21.47,134.93,18.07,2.94,0.67,potable
4.55,4.99,7.23,456.01,5.59,253.25,0.04,98.99,0.13,162.23,22.62,4.99,15.7,46.73,38.23,26.1,0.1,potable
0.12,1.78,7.63,423.12,71.16,288.46,0.06,163.45,0.27,140.46,139.2,1.46,49.02,21.82,42.57,36.26,0.5,potable
0.12,0.79,6.9,133.73,332.43,186.64,0.07,126.31,0.13,103.04,301.1,4.68,67.17,26.04,18.25,13.25,0.65,potable
